DIAS,TRÊS MARIAS,BSM,FORTALEZA,JATOBÁ,ACARÁ DO TAPAJÓS,BUBURÉ,BELA VISTA
1991-05-01,959.3747209315466,799.616455572796,645.0967741935484,799.616455572796,767.8411541131075,767.9918749709022,1011.7096774193549
1991-06-01,698.9408314663248,569.7572163084209,487.0,569.7572163084209,559.3636691084677,646.5014921619988,767.0
1991-07-01,583.7239929655003,454.78683794773923,412.26356326595595,454.7868379477392,463.3140876766742,548.2489877416692,569.0967741935484
1991-08-01,521.4700134301959,388.335502683239,369.7035098981179,388.3355026832389,407.6399360257088,492.66065149994705,457.1290322580645
1991-09-01,455.326087954793,328.11637506626136,328.29511173025764,328.1163750662611,351.7294848906514,452.87919738746143,377.0
1991-10-01,431.33426957583237,306.2736077623575,313.27539886824394,306.2736077623573,331.4495668259627,438.4496119787056,347.93548387096774
1991-11-01,485.04292403794494,355.17134544490335,346.8988848201659,355.1713454449033,376.84867308176405,470.75202459741865,413.0
1991-12-01,687.5159617999255,559.6736136881719,480.06451612903226,559.6736136881719,490.2035122897898,522.736968256488,517.7096774193549
1992-01-01,940.882373750584,783.2950894711838,633.8709677419355,783.2950894711838,559.741935483871,585.9324666171436,645.0
1992-02-01,1070.1528958396189,897.3893954300179,712.3448275862069,897.3893954300179,737.6896551724138,707.4471481653017,889.7586206896551
1992-03-01,881.7918850573934,731.1417587097095,598.0,731.1417587097095,822.5806451612904,751.6885254191669,978.8709677419355
1992-04-01,660.6684037326985,535.9779292052082,463.76666666666665,535.9779292052082,744.5894578475492,772.9351957583634,1021.6666666666666
1992-05-01,819.783377802554,659.9276470846081,556.4580528427784,659.9276470846081,659.799671962121,672.0775719597602,818.516129032258
1992-06-01,601.6539900753504,461.337053282575,419.9014684822314,461.33705328257497,475.41822822429725,540.8863224824179,554.2666666666667
1992-07-01,487.41281508758703,357.3289550897951,348.38251905403854,357.328955089795,378.8519058317722,472.1773665523346,415.8709677419355
1992-08-01,417.3013192032329,293.4976495279988,304.49028379800956,293.4976495279985,319.58772795793715,430.0096657962257,330.93548387096774
